,school name,federal loan rate,t9 cost for public schools,t9 cost for private schools,tuition revenue per full time enrollment,tuition cost for in state students,part time student retention rate for 4y,full time students <4y,full time students in 4y,cost of attendance w fam other expenses,compl rate for <4y (white),compl rate for <4y (2 or more races),compl rate for <4y (hawaiian/pac islander),compl rate for <4y (hispanic),compl rate for <4y (black),compl rate for <4y (american indian),compl rate less than 4y (american indian),compl rate for 4y (white),compl rate for 4y (2 or more races),compl rate for 4y (hawaiian/pac islander),compl rate for 4y (hispanic),compl rate for 4y (black),compl rate for 4y (asian),compl rate for 4y (american indian),1st-time fulltime compl 4y (2y avg),1st-time fulltime compl 4y,id,latitude,longitude
10,Birmingham-Southern College,0.6785,0.0,207.0,10137.0,20100.0,0.0,0.0,0.7891,4690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7147,0.7143,0.0,0.6,0.5818,0.8,0.5,0.7033,0.6984,100937,33.513774,-86.850552
11,Chattahoochee Valley Community College,0.2352,117.0,0.0,1380.0,3936.0,0.0,0.5733,0.0,2000.0,0.1667,0.4,0.0,0.1154,0.1418,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101028,32.42391,-85.031485
12,South University-Montgomery,0.6125,0.0,3.0,9771.0,17014.0,0.3333,0.0,0.4348,4747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222,0.0,0.0,0.0,0.0588,0.0,0.0,0.1225,0.1071,101116,32.342684,-86.216488
13,Enterprise State Community College,0.1968,189.0,0.0,3488.0,4860.0,0.0,0.6252,0.0,2696.0,0.3032,0.3571,0.0,0.32,0.2785,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101143,31.297496,-85.836956
14,Coastal Alabama Community College,0.2051,543.0,0.0,2249.0,4860.0,0.0,0.5813,0.0,4407.0,0.26,0.32,0.0,0.25,0.2166,0.1818,0.4688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101161,30.851343,-87.778193
15,Faulkner University,0.6022,0.0,224.0,13718.0,23490.0,0.4363,0.0,0.6238,4400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2101,0.3333,0.3333,0.0,0.1293,0.25,0.0,0.2345,0.1851,101189,32.384181,-86.21641
16,Gadsden State Community College,0.0,370.0,0.0,2113.0,3936.0,0.0,0.5618,0.0,2916.0,0.2862,0.1316,0.0,0.34,0.1946,0.5,0.2857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101240,33.994001,-85.991438
17,New Beginning College of Cosmetology,0.6538,0.0,47.0,7442.0,0.0,0.0,0.8064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101277,34.27871,-86.196931
18,George C Wallace Community College-Dothan,0.0,211.0,0.0,2844.0,4800.0,0.0,0.5908,0.0,1000.0,0.2723,0.1818,0.0,0.1944,0.2562,0.25,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101286,31.315274,-85.465836
19,George C Wallace State Community College-Hanceville,0.2154,530.0,0.0,3154.0,4860.0,0.0,0.6411,0.0,6160.0,0.4486,0.0,0.0,0.6032,0.2985,0.6667,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101295,34.072439,-86.781935
20,George C Wallace State Community College-Selma,0.0,142.0,0.0,1737.0,4560.0,0.0,0.5938,0.0,1000.0,0.25,0.0,0.0,0.0,0.3829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101301,32.445917,-87.013294
21,Herzing University-Birmingham,0.7582,0.0,16.0,13409.0,14200.0,0.3333,0.0,0.4444,2601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4545,0.0,0.0,0.0,0.4,0.0,0.0,0.3,0.3913,101365,33.468466,-86.832465
22,Huntingdon College,0.7043,0.0,180.0,13368.0,27900.0,0.0,0.0,0.7095,2068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.471,0.3529,0.0,0.3125,0.4545,0.0,1.0,0.431,0.4422,101435,32.351034,-86.284366
23,Heritage Christian University,0.0429,0.0,1.0,12070.0,11632.0,1.0,0.0,1.0,3591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,101453,34.856153,-87.663051
24,J. F. Drake State Community and Technical College,0.0,49.0,0.0,2149.0,4830.0,0.0,0.4599,0.0,2400.0,0.05,0.3333,0.0,0.25,0.1591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101462,34.771858,-86.572885
25,J F Ingram State Technical College,0.0,12.0,0.0,33.0,5472.0,0.0,0.636,0.0,0.0,0.2043,0.0,0.0,0.5,0.219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101471,32.582312,-86.392369
26,Jacksonville State University,0.6939,968.0,0.0,6620.0,11120.0,0.4043,0.0,0.7144,4812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5272,0.0,0.0,0.5625,0.3765,0.5,0.6,0.4744,0.4966,101480,33.822938,-85.765321
