,school name,zipcode,student size,pell grant rate,average faculty salary,fulltime faculty rate,admission test requirements,completion rate in 4 years (hawaiian or pacific islander),completion rate in 4 years (american indian),completion rate in 4 years (asian),completion rate in 4 years (hispanic),completion rate in 4 years (black),completion rate in 4 years (white),total student demographic (white),total student demographic (hispanic),total student demographic (black),total student demographic (american indian),total student demographic (female),total student demographic (male),median debt for income 30001_75000,median debt for income 0-30000,median debt for income greater than 75000,median debt for noncompleters,median debt for completers,median debt for male students,median debt for independent students,median debt for female students,median debt for dependent students,faculty demographic (white),faculty demographic (2 or more race or ethnicity),faculty demographic (unknown race or ethnicity),faculty demographic (hawaiian or pacific islander),faculty demographic (hispanic),faculty demographic (black),faculty demographic (asian),faculty demographic (american indian),latest.student.share_25_older
245,Citrus College,91741-1899,8260.0,0.2575,8894.0,0.3575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1504,0.6603,0.0332,0.0025,0.5688,0.4312,5500.0,7750.0,5000.0,5500.0,7851.0,6500.0,9500.0,5500.0,5500.0,0.5542,0.0,0.0,0.0301,0.2349,0.0422,0.1205,0.0181,0.3038
246,Citrus Heights Beauty College,95610-1410,101.0,0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6535,0.1683,0.0594,0.0198,0.9802,0.0198,3673.0,4889.0,5917.0,4750.0,6333.0,0.0,6333.0,0.0,3673.0,0.625,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.3267
247,City College of San Francisco,94112-1898,16219.0,0.1367,10179.0,0.5101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208,0.271,0.0745,0.0024,0.5417,0.4583,5500.0,8399.0,5250.0,7458.0,8218.0,8973.0,9500.0,6688.0,4750.0,0.5207,0.0197,0.0237,0.0039,0.1282,0.0552,0.2091,0.002,0.5865
248,Claremont Graduate University,91711-6160,0.0,0.0,13628.0,0.8387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6421,0.0105,0.0632,0.0,0.0737,0.0632,0.1474,0.0,0.0
249,Claremont McKenna College,91711-6400,1414.0,0.1973,14789.0,0.9326,5.0,0.0,0.0,0.9444,0.9623,0.8462,0.9237,0.3685,0.1563,0.0516,0.0007,0.5078,0.4922,11500.0,13500.0,11948.0,6500.0,13500.0,11500.0,0.0,12000.0,0.0,0.6889,0.0222,0.0278,0.0,0.0667,0.0389,0.1222,0.0,0.0021
250,Milan Institute-Visalia,93277,430.0,0.5546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1372,0.793,0.0163,0.0163,0.9419,0.0581,5500.0,7690.0,5265.0,4750.0,8124.0,7690.0,7972.0,6736.0,5500.0,0.4815,0.037,0.1852,0.0,0.2222,0.0,0.037,0.037,0.4023
251,Clovis Adult Education,93611,340.0,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1441,0.5029,0.0706,0.0088,0.8882,0.1118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4545,0.0,0.0,0.0,0.2727,0.0,0.2727,0.0,0.7353
252,Coastline Community College,92708-2597,5719.0,0.107,11482.0,0.1756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291,0.3072,0.0754,0.0061,0.485,0.515,0.0,8134.0,0.0,7648.0,8250.0,7750.0,8316.0,7666.0,4500.0,0.6939,0.0204,0.0204,0.0,0.1224,0.0204,0.102,0.0,0.5894
253,University of Silicon Valley,95134,420.0,0.4611,7739.0,0.3604,2.0,0.0,0.6667,0.7222,0.4737,0.3333,0.5,0.2786,0.2333,0.0881,0.0024,0.2619,0.7381,17522.0,15750.0,20751.0,9500.0,31000.0,16047.0,18852.0,23000.0,17863.0,0.5455,0.0,0.0,0.0909,0.0,0.0,0.3636,0.0,0.2471
254,Coba Academy,92801,132.0,0.6726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1136,0.6742,0.1061,0.0,0.8106,0.1894,0.0,6333.0,0.0,6311.0,6333.0,9680.0,6333.0,6333.0,5226.0,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.5
255,Western University of Health Sciences,91766-1854,0.0,0.0,11470.0,0.8567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4187,0.0482,0.0994,0.0,0.0452,0.0211,0.256,0.0,0.0
256,Columbia College,95370,1509.0,0.2233,10376.0,0.4576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6753,0.224,0.0371,0.0152,0.5474,0.4526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7778,0.0556,0.0185,0.0,0.1111,0.0185,0.0185,0.0,0.3408
257,Columbia College Hollywood,91356-1411,493.0,0.5289,6369.0,0.0721,0.0,0.0,0.0,0.4444,0.6316,0.2895,0.5323,0.4037,0.1197,0.1846,0.0142,0.432,0.568,13279.0,12000.0,15907.0,6334.0,25000.0,12667.0,12667.0,14167.0,13500.0,0.875,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.1826
258,Compton College,90221-5393,2635.0,0.2923,9370.0,0.4764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0209,0.5917,0.2896,0.0027,0.6774,0.3226,0.0,0.0,0.0,0.0,0.0,4750.0,0.0,6754.0,0.0,0.3265,0.0102,0.0204,0.0102,0.2041,0.3571,0.0714,0.0,0.3636
259,Contra Costa College,94806,4429.0,0.1426,9805.0,0.3923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1124,0.4547,0.1495,0.0014,0.6085,0.3915,0.0,4750.0,0.0,4750.0,0.0,4750.0,5250.0,5250.0,4000.0,0.4216,0.0392,0.049,0.0098,0.1765,0.1765,0.1176,0.0,0.3552
260,Cosumnes River College,95823-5799,12575.0,0.2532,9447.0,0.4318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2367,0.2799,0.0845,0.0036,0.5812,0.4188,7514.0,9276.0,5500.0,8483.0,10722.0,8003.0,9500.0,9074.0,5500.0,0.513,0.0415,0.0363,0.0,0.1451,0.0881,0.1503,0.0155,0.3585
261,Crafton Hills College,92339-1799,4481.0,0.1467,10208.0,0.1864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3256,0.5106,0.0326,0.0025,0.5543,0.4457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.631,0.0,0.0119,0.0,0.1905,0.0595,0.1071,0.0,0.3281
262,Cuesta College,93403-8106,6961.0,0.1852,10451.0,0.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5172,0.3281,0.0322,0.004,0.5376,0.4624,9500.0,10250.0,6500.0,9500.0,13750.0,9500.0,10500.0,9500.0,5500.0,0.7826,0.0072,0.0362,0.0,0.1159,0.0,0.0217,0.0145,0.2756
263,Cuyamaca College,92019,6473.0,0.2378,7247.0,0.3098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4391,0.3271,0.0365,0.0043,0.5735,0.4265,0.0,5250.0,0.0,5250.0,0.0,4500.0,7000.0,5967.0,3657.0,0.6739,0.0,0.0217,0.0,0.163,0.0435,0.0543,0.0217,0.3833
264,Cypress College,90630-5897,12090.0,0.2928,10440.0,0.3575,0.0,0.5,0.5,0.5068,0.2316,0.2188,0.3333,0.1311,0.5144,0.0363,0.0016,0.5888,0.4112,8500.0,8220.0,4500.0,7000.0,10000.0,5500.0,9500.0,9000.0,4250.0,0.4626,0.0441,0.0793,0.0,0.2026,0.0573,0.1322,0.0,0.3074
265,De Anza College,95014,14706.0,0.1629,9611.0,0.3781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1664,0.2856,0.0271,0.0015,0.506,0.494,6707.0,7000.0,5500.0,6500.0,5625.0,6500.0,8709.0,6334.0,5500.0,0.4628,0.0289,0.0289,0.0,0.1736,0.0661,0.2273,0.0041,0.3012
266,International School of Beauty Inc,92260-2740,159.0,0.4692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2453,0.6855,0.0314,0.0,0.7358,0.2642,0.0,5500.0,0.0,4056.0,7083.0,6828.0,7196.0,6240.0,5500.0,0.5,0.0,0.0,0.0,0.4,0.1,0.0,0.0,0.3962
