,school name,id,latitude,longitude
119,Black River Technical College,106625,36.239793,-90.951033
120,University of Central Arkansas,106704,35.077945,-92.457672
121,Central Baptist College,106713,35.083838,-92.445021
122,Cossatot Community College of the University of Arkansas,106795,34.043389,-94.3673
123,Crowley's Ridge College,106810,36.064845,-90.584395
124,East Arkansas Community College,106883,35.041655,-90.767726
125,Eastern College of Health Vocations-Little Rock,106892,34.75128,-92.341891
126,Paul Mitchell the School-Little Rock,106908,34.789913,-92.222202
127,National Park College,106980,34.512687,-93.119248
128,University of Arkansas Community College-Batesville,106999,35.792923,-91.615852
129,Harding University,107044,35.247386,-91.726143
130,Henderson State University,107071,34.128155,-93.059703
131,Hendrix College,107080,35.101565,-92.443256
132,Hot Springs Beauty College,107099,34.496057,-93.037277
133,Jefferson Regional School of Nursing,107123,34.187831,-92.018045
134,John Brown University,107141,36.189812,-94.560283
135,Career Academy of Hair Design,107220,36.167605,-94.12947
136,Academy of Salon and Spa,107293,35.38097,-94.41616
137,Arkansas State University Mid-South,107318,35.145736,-90.22285
138,Arkansas Northeastern College,107327,35.898597,-89.921005
139,New Tyler Barber College Inc,107442,34.760085,-92.254171
140,North Arkansas College,107460,36.219909,-93.08844
141,Northwest Technical Institute,107488,36.178032,-94.115346
142,Ouachita Baptist University,107512,34.126093,-93.052471
143,Arkansas State University Three Rivers,107521,34.378745,-92.821416
144,Ozarka College,107549,36.053031,-91.896355
145,University of the Ozarks,107558,35.476278,-93.467221
146,University of Arkansas Community College-Morrilton,107585,35.172136,-92.728507
147,Philander Smith College,107600,34.737131,-92.283015
148,Phillips Community College of the University of Arkansas,107619,34.546155,-90.616884
149,Southeast Arkansas College,107637,34.210309,-92.025936
150,Professional Cosmetology Education Center,107655,33.216032,-92.664101
151,University of Arkansas-Pulaski Technical College,107664,34.782783,-92.299184
152,University of Arkansas Hope-Texarkana,107725,33.641665,-93.596762
153,University of Arkansas Community College Rich Mountain,107743,34.591449,-94.219799
154,Paul Mitchell the School-Arkansas,107789,36.126373,-94.153892
155,Searcy Beauty College,107831,35.239148,-91.735135
156,Shorter College,107840,34.75933,-92.261331
157,Williams Baptist University,107877,36.125676,-90.940277
158,South Arkansas Community College,107974,33.209446,-92.666087
159,Southern Arkansas University Main Campus,107983,33.291618,-93.235922
160,Southern Arkansas University Tech,107992,33.628367,-92.721629
161,Velvatex College of Beauty Culture,108065,34.735685,-92.289597
162,University of Arkansas-Fort Smith,108092,35.384184,-94.373729
163,Academy of Art University,108232,37.787943,-122.400578
164,Academy of Chinese Culture and Health Sciences,108269,37.805972,-122.269839
165,College of Alameda,108667,37.781017,-122.279303
