,school name,student median family income,t9 low inc comp by 3y,t9 low inc comp by 4y,t9 low inc comp by 6y,t9 low inc comp by 8y,t9 low inc withdr by 2y,t9 low inc withdr by 3y,t9 low inc withdr by 4y,t9 low inc withdr by 6y,t9 low inc withdr by 8y,t9 low inc transfers withdr by 2y,t9 low inc transfers withdr by 3y,t9 low inc transfers withdr by 4y,t9 low inc transfers withdr by 6y,t9 low inc transfers withdr by 8y,t9 low inc transfers comp by 2y,t9 low inc transfers comp by 3y,t9 low inc transfers comp by 4y,t9 low inc transfers comp by 6y,t9 low inc transfers comp by 8y,t9 middle inc comp by 2y,t9 middle inc comp by 3y,t9 middle inc comp by 4y,t9 middle inc comp by 6y,t9 middle inc comp by 8y,t9 middle inc withdr by 2y,t9 middle inc withdr by 3y,t9 middle inc withdr by 4y,t9 middle inc withdr by 6y,t9 middle inc withdr by 8y,t9 middle inc transfers withdr by 2y,t9 middle inc transfers withdr by 3y,t9 middle inc transfers withdr by 4y,t9 middle inc transfers withdr by 6y,t9 middle inc transfers withdr by 8y,t9 middle inc transfers comp by 2y,t9 middle inc transfers comp by 3y,t9 middle inc transfers comp by 4y,t9 middle inc transfers comp by 6y,t9 middle inc transfers comp by 8y,t9 high inc completed by 2y,t9 high inc completed by 3y,t9 high inc completed by 4y,t9 high inc completed by 6y,t9 high inc completed by 8y,t9 high inc withdr by 2y,t9 high inc withdr by 3y,t9 high inc withdr by 4y,t9 high inc withdr by 6y,t9 high inc withdr by 8y,t9 high inc transfers withdr by 2y,t9 high inc transfers withdr by 3y,t9 high inc transfers withdr by 4y,t9 high inc transfers withdr by 6y,t9 high inc transfers withdr by 8y,t9 high inc transfers to 4y comp by 2y,t9 high inc transfers to 4y comp by 3y,t9 high inc transfers to 4y comp by 4y,t9 high inc transfers to 4y comp by 6y,t9 high inc transfers to 4y comp by 8y,id,latitude,longitude
0,Alabama A & M University,23553.0,0.11377245509,0.197745901639,0.283042394015,0.265734265734,0.348643006263,0.319361277445,0.381147540984,0.327930174564,0.285314685315,0.045929018789,0.057884231537,0.072745901639,0.082294264339,0.085314685315,0.0,0.023952095808,0.027663934426,0.042394014963,0.076923076923,0.0,0.137330754352,0.230769230769,0.336391437309,0.330739299611,0.31718061674,0.286266924565,0.319711538462,0.336391437309,0.260700389105,0.0,0.0,0.0,0.088685015291,0.0,0.0,0.0,0.0,0.0,0.101167315175,0.0,0.267441860465,0.36301369863,0.349514563107,0.33,0.25,0.186046511628,0.212328767123,0.242718446602,0.23,0.0,0.0,0.0,0.126213592233,0.0,0.0,0.0,0.0,0.0,0.16,100654,34.783368,-86.568502
1,University of Alabama at Birmingham,34489.0,0.306596701649,0.440978077572,0.475978647687,0.477485131691,0.223259152907,0.247376311844,0.225126475548,0.208185053381,0.18691588785,0.018664752333,0.02323838081,0.0,0.052491103203,0.051826677995,0.047379755922,0.042728635682,0.067453625632,0.078291814947,0.105352591334,0.145510835913,0.319085487078,0.413834951456,0.560052219321,0.576454668471,0.214654282766,0.22365805169,0.21359223301,0.161879895561,0.148849797023,0.0,0.0,0.03640776699,0.032637075718,0.039242219215,0.0,0.048707753479,0.086165048544,0.090078328982,0.09201623816,0.115925058548,0.376670716889,0.525773195876,0.626524390244,0.634064080944,0.151053864169,0.166464155529,0.176730486009,0.129573170732,0.123102866779,0.0,0.0,0.0,0.021341463415,0.025295109612,0.0,0.031591737546,0.061855670103,0.114329268293,0.101180438449,100663,33.505697,-86.799345
2,Amridge University,15033.0,0.0,0.0,0.0,0.104,0.524822695035,0.532786885246,0.510638297872,0.508064516129,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100690,32.362609,-86.17401
3,University of Alabama in Huntsville,44787.0,0.293501048218,0.332075471698,0.435546875,0.448581560284,0.255198487713,0.230607966457,0.283018867925,0.21875,0.179078014184,0.0,0.025157232704,0.0,0.041015625,0.054964539007,0.037807183365,0.046121593291,0.079245283019,0.099609375,0.131205673759,0.113733905579,0.306930693069,0.375,0.491408934708,0.539936102236,0.212446351931,0.264851485149,0.258720930233,0.161512027491,0.134185303514,0.027896995708,0.0,0.043604651163,0.0,0.0,0.0,0.032178217822,0.063953488372,0.113402061856,0.143769968051,0.089743589744,0.265799256506,0.411904761905,0.545751633987,0.531914893617,0.163003663004,0.191449814126,0.27619047619,0.186274509804,0.13829787234,0.0,0.0,0.0,0.0,0.0,0.0,0.031598513011,0.064285714286,0.098039215686,0.152482269504,100706,34.724557,-86.640449
4,Alabama State University,22080.0,0.12049689441,0.210592686003,0.297872340426,0.243494423792,0.352288488211,0.409937888199,0.34552332913,0.317446808511,0.293680297398,0.031900138696,0.065838509317,0.080706179067,0.095319148936,0.155204460967,0.0,0.022360248447,0.031525851198,0.069787234043,0.065055762082,0.0,0.166666666667,0.259475218659,0.320276497696,0.335051546392,0.304487179487,0.341666666667,0.309037900875,0.26267281106,0.226804123711,0.0,0.058333333333,0.0,0.0,0.121134020619,0.0,0.0,0.0,0.062211981567,0.077319587629,0.0,0.152542372881,0.452173913043,0.516339869281,0.420560747664,0.202247191011,0.203389830508,0.191304347826,0.150326797386,0.168224299065,0.0,0.093220338983,0.0,0.0,0.11214953271,0.0,0.0,0.0,0.078431372549,0.130841121495,100724,32.364317,-86.295677
5,The University of Alabama,66733.0,0.376865671642,0.480234260615,0.508601346298,0.483333333333,0.154325798909,0.178358208955,0.176427525622,0.183246073298,0.16875,0.026500389712,0.04776119403,0.04831625183,0.060583395662,0.068055555556,0.023382696804,0.031343283582,0.062225475842,0.09349289454,0.124305555556,0.13643533123,0.416602613374,0.544351781653,0.603896103896,0.547540983607,0.132492113565,0.132974634896,0.140257771039,0.133116883117,0.12868852459,0.032334384858,0.033051498847,0.031842304776,0.037337662338,0.045901639344,0.0,0.034588777863,0.074298711145,0.097402597403,0.135245901639,0.074030087094,0.476170912079,0.647441104793,0.698727015559,0.69256381798,0.075613618369,0.088742810189,0.097075548335,0.07543611504,0.073251942286,0.03008709422,0.031224322104,0.032493907392,0.036775106082,0.039955604883,0.0,0.038208709942,0.071080422421,0.099952852428,0.113762486127,100751,33.211875,-87.545978
6,Central Alabama Community College,22217.0,0.136094674556,0.149700598802,0.117777777778,0.061313868613,0.532203389831,0.494082840237,0.535928143713,0.542222222222,0.395620437956,0.0,0.059171597633,0.089820359281,0.082222222222,0.105109489051,0.0,0.0,0.038922155689,0.048888888889,0.068613138686,0.0,0.0,0.197368421053,0.0,0.0,0.44262295082,0.45,0.453947368421,0.461956521739,0.336633663366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103260869565,0.0,0.0,0.0,0.230769230769,0.0,0.0,0.439024390244,0.48,0.461538461538,0.320754716981,0.434782608696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188679245283,0.0,100760,32.92478,-85.945266
7,Athens State University,29645.0,0.387559808612,0.483870967742,0.542929292929,0.550403225806,0.208920187793,0.27033492823,0.233250620347,0.169191919192,0.183467741935,0.0,0.0,0.029776674938,0.030303030303,0.0,0.044600938967,0.057416267943,0.052109181141,0.075757575758,0.064516129032,0.306620209059,0.489864864865,0.553264604811,0.657342657343,0.662162162162,0.191637630662,0.152027027027,0.192439862543,0.15034965035,0.162162162162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261437908497,0.378571428571,0.661016949153,0.649572649573,0.72380952381,0.196078431373,0.214285714286,0.135593220339,0.179487179487,0.114285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100812,34.806793,-86.964698
8,Auburn University at Montgomery,29671.0,0.185185185185,0.239208633094,0.248861911988,0.270921985816,0.301515151515,0.243664717349,0.269784172662,0.279210925645,0.170212765957,0.045454545455,0.040935672515,0.098920863309,0.119878603945,0.144680851064,0.036363636364,0.025341130604,0.068345323741,0.092564491654,0.158865248227,0.099397590361,0.246913580247,0.281437125749,0.378917378917,0.386627906977,0.298192771084,0.231481481481,0.239520958084,0.182336182336,0.218023255814,0.0,0.043209876543,0.080838323353,0.094017094017,0.072674418605,0.0,0.0,0.080838323353,0.14245014245,0.174418604651,0.077319587629,0.26213592233,0.37668161435,0.395348837209,0.379807692308,0.221649484536,0.218446601942,0.121076233184,0.153488372093,0.182692307692,0.0,0.04854368932,0.076233183857,0.116279069767,0.081730769231,0.0,0.0,0.121076233184,0.144186046512,0.235576923077,100830,32.36736,-86.177544
9,Auburn University,72031.0,0.396301188904,0.601876675603,0.652373660031,0.661111111111,0.162416107383,0.161162483487,0.109919571046,0.110260336907,0.127777777778,0.0,0.023778071334,0.030831099196,0.035222052067,0.036111111111,0.0,0.022457067371,0.058981233244,0.079632465544,0.097222222222,0.172274562584,0.455459770115,0.637482900137,0.70297029703,0.694259012016,0.104979811575,0.08908045977,0.098495212038,0.079207920792,0.068090787717,0.0,0.027298850575,0.021887824897,0.041254125413,0.03738317757,0.020188425303,0.033045977011,0.06292749658,0.07095709571,0.108144192256,0.088745980707,0.441591784339,0.707156927118,0.788101059495,0.758233532934,0.069453376206,0.096277278562,0.076165462902,0.058679706601,0.055389221557,0.013504823151,0.017971758665,0.020354563362,0.029339853301,0.023203592814,0.0,0.026315789474,0.04530531845,0.062754686227,0.098053892216,100858,32.599378,-85.488258
10,Birmingham-Southern College,68094.0,0.456140350877,0.574074074074,0.551020408163,0.488372093023,0.224137931034,0.245614035088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255813953488,0.0,0.5,0.639534883721,0.632352941176,0.51724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224137931034,0.0,0.505747126437,0.715384615385,0.690909090909,0.593023255814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092307692308,0.136363636364,0.220930232558,100937,33.513774,-86.850552
11,Chattahoochee Valley Community College,20813.0,0.118457300275,0.132250580046,0.124369747899,0.14440433213,0.432911392405,0.449035812672,0.426914153132,0.342857142857,0.158844765343,0.0,0.0,0.099767981439,0.141176470588,0.135379061372,0.0,0.0,0.037122969838,0.047058823529,0.06678700361,0.0,0.272727272727,0.0,0.0,0.0,0.0,0.0,0.396449704142,0.336633663366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.392857142857,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101028,32.42391,-85.031485
12,South University-Montgomery,20000.0,0.144833427442,0.153831231814,0.124643690075,0.085180863477,0.397919375813,0.355448898927,0.364888457808,0.34451930552,0.357934655776,0.069245773732,0.112365894975,0.103976721629,0.126975900492,0.129229871645,0.041612483745,0.047713156409,0.042483026188,0.073075926406,0.078179696616,0.25069124424,0.274231678487,0.321449792038,0.273094170404,0.196164199192,0.291244239631,0.255319148936,0.245989304813,0.262331838565,0.318304172275,0.0,0.089834515366,0.084967320261,0.120179372197,0.106325706595,0.044239631336,0.073286052009,0.065359477124,0.104035874439,0.116419919246,0.424501424501,0.487980769231,0.551601423488,0.513377926421,0.402903811252,0.173789173789,0.213942307692,0.202846975089,0.205685618729,0.257713248639,0.0,0.048076923077,0.024911032028,0.066889632107,0.056261343013,0.054131054131,0.045673076923,0.044483985765,0.065217391304,0.076225045372,101116,32.342684,-86.216488
13,Enterprise State Community College,20456.0,0.069182389937,0.072222222222,0.104081632653,0.077155824508,0.539156626506,0.544025157233,0.55,0.516326530612,0.35552193646,0.0,0.034591194969,0.052777777778,0.087755102041,0.095310136157,0.0,0.0,0.0,0.044897959184,0.057488653555,0.0,0.143835616438,0.0,0.147058823529,0.0,0.452054794521,0.506849315068,0.45652173913,0.406862745098,0.392857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16393442623,0.0,0.232558139535,0.0,0.408163265306,0.426229508197,0.478260869565,0.395348837209,0.535714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101143,31.297496,-85.836956
14,Coastal Alabama Community College,24150.0,0.071480144404,0.082664526485,0.153549807375,0.106870229008,0.539555555556,0.517689530686,0.451845906902,0.406164006604,0.264399722415,0.051555555556,0.05559566787,0.072231139647,0.096312603192,0.117279666898,0.0,0.023826714801,0.040128410915,0.079251513484,0.088827203331,0.092362344583,0.10796460177,0.158844765343,0.221682847896,0.145054945055,0.488454706927,0.511504424779,0.415162454874,0.380258899676,0.303296703297,0.046181172291,0.063716814159,0.083032490975,0.093851132686,0.085714285714,0.0,0.026548672566,0.050541516245,0.114886731392,0.178021978022,0.138339920949,0.114893617021,0.1875,0.244897959184,0.171717171717,0.418972332016,0.4,0.3625,0.316326530612,0.30303030303,0.059288537549,0.063829787234,0.0875,0.086734693878,0.106060606061,0.0,0.089361702128,0.129166666667,0.168367346939,0.212121212121,101161,30.851343,-87.778193
15,Faulkner University,24037.0,0.261224489796,0.297830374753,0.264112903226,0.276666666667,0.357142857143,0.365306122449,0.313609467456,0.336693548387,0.276666666667,0.048262548263,0.05306122449,0.069033530572,0.102822580645,0.093333333333,0.0,0.0,0.025641025641,0.0625,0.073333333333,0.265060240964,0.422310756972,0.443037974684,0.397435897436,0.372950819672,0.277108433735,0.270916334661,0.206751054852,0.226495726496,0.200819672131,0.0,0.0,0.0,0.059829059829,0.0,0.0,0.0,0.067510548523,0.119658119658,0.16393442623,0.206349206349,0.427586206897,0.416666666667,0.446280991736,0.351351351351,0.214285714286,0.158620689655,0.191666666667,0.247933884298,0.283783783784,0.0,0.0,0.0,0.082644628099,0.0,0.0,0.0,0.091666666667,0.090909090909,0.148648648649,101189,32.384181,-86.21641
